!,consonant
auuh,low
auuh,central
auuh,unrounded
auuh,to
auuh,high
auuh,back
auuh,unrounded
B,consonant
B,fricative
B,voiced
B,bilabial
b,consonant
b,plosive
b,voiced
b,bilabial
b:,consonant
b:,plosive
b:,long
b:,voiced
b:,bilabial
b*,consonant
b*,plosive
b*,laryngealized
b*,voiced
b*,bilabial
b&,consonant
b&,plosive
b&,voiced
b&,bilabial
b&,ejective
b<,consonant
b<,plosive
b<,voiced
b<,bilabial
b<,implosive
BA,consonant
BA,approximant
BA,voiced
BA,bilabial
BA-,consonant
BA-,approximant
BA-,velarized
BA-,voiced
BA-,bilabial
BA:,consonant
BA:,approximant
BA:,long
BA:,voiced
BA:,bilabial
BAJ,consonant
BAJ,approximant
BAJ,palatalized
BAJ,voiced
BAJ,bilabial
bD,consonant
bD,plosive
bD,voiced
bD,labiodental
bh,consonant
bh,plosive
bh,breathy
bh,voiced
bh,bilabial
BJ,consonant
BJ,fricative
BJ,palatalized
BJ,voiced
BJ,bilabial
bJ,consonant
bJ,plosive
bJ,palatalized
bJ,voiced
bJ,bilabial
bJ<,consonant
bJ<,plosive
bJ<,palatalized
bJ<,voiced
bJ<,bilabial
bJ<,implosive
bJh,consonant
bJh,plosive
bJh,palatalized
bJh,breathy
bJh,voiced
bJh,bilabial
bm,consonant
bm,plosive
bm,nasally-released
bm,voiced
bm,bilabial
bv,consonant
bv,affricate
bv,voiced
bv,labio-dental
bW,consonant
bW,plosive
bW,labialized
bW,voiced
bW,bilabial
bW-,consonant
bW-,plosive
bW-,labialized
bW-,velarized
bW-,voiced
bW-,bilabial
C,consonant
C,fricative
C,voiceless
C,palatal
c,consonant
c,plosive
c,voiceless
c,palatal
c:,consonant
c:,plosive
c:,long
c:,voiceless
c:,palatal
c&,consonant
c&,plosive
c&,voiceless
c&,palatal
c&,ejective
C$,consonant
C$,fricative
C$,voiceless
C$,palatal
C$,sibilant
C$&,consonant
C$&,fricative
C$&,voiceless
C$&,palatal
C$&,sibilant
C$&,ejective
cC,consonant
cC,affricate
cC,voiceless
cC,palatal
cC$,consonant
cC$,affricate
cC$,voiceless
cC$,palatal
cC$,sibilant
cC$&,consonant
cC$&,affricate
cC$&,voiceless
cC$&,palatal
cC$&,sibilant
cC$&,ejective
cC$h,consonant
cC$h,affricate
cC$h,voiceless
cC$h,aspirated
cC$h,palatal
cC$h,sibilant
cCh,consonant
cCh,affricate
cCh,voiceless
cCh,aspirated
cCh,palatal
cCW,consonant
cCW,affricate
cCW,labialized
cCW,voiceless
cCW,palatal
ch,consonant
ch,plosive
ch,voiceless
ch,aspirated
ch,palatal
CW,consonant
CW,fricative
CW,labialized
CW,voiceless
CW,palatal
d,consonant
d,plosive
d,voiced
d,alveolar
d_,consonant
d_,plosive
d_,voiced
d_,palato-alveolar
d_*,consonant
d_*,plosive
d_*,laryngealized
d_*,voiced
d_*,palato-alveolar
d_<,consonant
d_<,plosive
d_<,voiced
d_<,palato-alveolar
d_<,implosive
d_n,consonant
d_n,plosive
d_n,nasally-released
